underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,Comment
AZO,2021-02-19,AZO,2021-03-19,1210.0,C,0.0,0.0,0.0,0.0,0,81,42.1,127,45.2,1208.48,1210.04,1209.4,1209.26,0.3295,0.5155,0.0036,-0.7858,1.3349,44.4573,71,40.5,115,45.1,1205.73,1205.92,0.0,4,
AZO,2021-03-19,AZO,2021-04-16,1330.0,C,0.0,0.0,0.0,0.0,0,31,36.7,129,40.8,1333.3199,1334.6801,1334.9,1334.0,0.2494,0.5311,0.0043,-0.654,1.4703,51.433,72,30.7,97,37.5,1324.8101,1325.8101,0.0,10,
AZO,2021-04-16,AZO,2021-05-21,1490.0,C,30.03,35.85,30.03,35.85,3,14,37.1,138,42.8,1491.6,1492.88,1495.2,1492.24,0.2107,0.5222,0.0041,-0.5538,1.8414,70.9529,62,37.8,62,44.2,1495.84,1497.3101,31.97,9,
AZO,2021-02-19,AZO,2021-03-19,1210.0,P,0.0,0.0,0.0,0.0,0,66,42.3,98,46.2,1208.48,1210.04,1209.4,1209.26,0.3285,-0.4845,0.0036,-0.7833,1.3349,-48.325,63,42.8,77,47.6,1205.73,1205.92,0.0,12,
AZO,2021-03-19,AZO,2021-04-16,1330.0,P,0.0,0.0,0.0,0.0,0,94,31.0,194,36.7,1333.3199,1334.6801,1334.9,1334.0,0.2433,-0.4688,0.0044,-0.638,1.4703,-50.6285,90,33.4,68,38.2,1324.8101,1325.8101,0.0,10,
AZO,2021-04-16,AZO,2021-05-21,1490.0,P,0.0,0.0,0.0,0.0,0,104,31.0,78,37.1,1491.6,1492.88,1495.2,1492.24,0.1908,-0.4781,0.0045,-0.5015,1.8415,-71.7381,54,29.5,68,36.5,1495.84,1497.3101,0.0,0,
BWA,2021-02-19,BWA,2021-03-19,42.5,C,2.63,2.63,2.1,2.2,7,1121,2.2,812,2.4,43.42,43.43,43.325,43.425,0.3914,0.5902,0.0823,-0.0305,0.0466,1.7894,589,2.25,223,2.45,43.55,43.56,2.3086,296,
BWA,2021-03-19,BWA,2021-04-16,50.0,C,1.2,1.65,1.2,1.6,108,540,1.5,1122,1.65,49.06,49.07,49.075,49.065,0.3668,0.4464,0.0793,-0.0352,0.0538,1.561,216,1.45,850,1.65,48.99,49.02,1.5255,921,
BWA,2021-04-16,BWA,2021-05-21,50.0,C,1.25,1.66,1.25,1.52,138,631,1.6,168,1.7,49.21,49.22,49.225,49.215,0.3293,0.4585,0.079,-0.0284,0.0605,2.0076,37,1.5,139,1.6,48.96,48.99,1.5678,822,
BWA,2021-02-19,BWA,2021-03-19,42.5,P,1.6,1.7,1.5,1.5,17,1293,1.4,47,1.55,43.42,43.43,43.325,43.425,0.3919,-0.4075,0.0822,-0.0341,0.0466,-1.4701,229,1.4,252,1.6,43.55,43.56,1.6471,304,
BWA,2021-03-19,BWA,2021-04-16,50.0,P,3.1,3.1,2.6,2.6,110,552,2.4,1356,2.6,49.06,49.07,49.075,49.065,0.365,-0.5541,0.0796,-0.035,0.0537,-2.2799,76,2.45,1208,2.75,48.99,49.02,2.795,167,
BWA,2021-04-16,BWA,2021-05-21,50.0,P,3.0,3.0,2.35,2.4,39,542,2.35,969,2.5,49.21,49.22,49.225,49.215,0.3273,-0.542,0.0795,-0.0283,0.0605,-2.7924,491,2.45,116,2.6,48.96,48.99,2.6277,53,
CHTR,2021-02-19,CHTR,2021-03-19,610.0,C,0.0,0.0,0.0,0.0,0,4,17.1,176,18.6,609.64,609.79,610.55,609.715,0.2663,0.5132,0.0089,-0.3203,0.6733,22.628,120,12.6,88,17.6,607.28,608.07,0.0,71,
CHTR,2021-03-19,CHTR,2021-04-16,630.0,C,0.0,0.0,0.0,0.0,0,62,17.1,187,21.3,630.11,630.38,631.7,630.245,0.2739,0.5172,0.0083,-0.3401,0.6961,23.5576,36,16.1,45,21.9,629.14,629.36,0.0,34,
CHTR,2021-04-16,CHTR,2021-05-21,645.0,C,19.99,20.69,19.94,20.18,15,4,20.7,106,24.0,644.92,645.22,645.8,645.07,0.28,0.5178,0.0071,-0.3183,0.7965,29.9122,26,20.3,86,25.2,644.14,644.37,20.136,28,
CHTR,2021-02-19,CHTR,2021-03-19,610.0,P,0.0,0.0,0.0,0.0,0,126,16.1,90,18.5,609.64,609.79,610.55,609.715,0.2555,-0.4875,0.0092,-0.3073,0.6734,-24.1241,4,18.1,90,19.8,607.28,608.07,0.0,705,
CHTR,2021-03-19,CHTR,2021-04-16,630.0,P,18.7,19.4,17.5,17.5,3,87,16.2,94,18.8,630.11,630.38,631.7,630.245,0.253,-0.4838,0.009000000000000001,-0.3142,0.6962,-24.7607,40,16.8,38,20.4,629.14,629.36,18.5333,13,
CHTR,2021-04-16,CHTR,2021-05-21,645.0,P,0.0,0.0,0.0,0.0,0,107,19.9,99,23.2,644.92,645.22,645.8,645.07,0.2708,-0.4828,0.0074,-0.3079,0.7965,-31.956,70,20.0,69,24.6,644.14,644.37,0.0,0,
